sparsity_dict: {'0': 0.47500000000000003, '1': 0.525, '2': 0.47500000000000003, '3': 0.45, '4': 0.55, '5': 0.45, '6': 0.55, '7': 0.55}, total_sparsity:0.503125, loss: 11.364428520202637
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.55, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.5, loss: 11.075617790222168
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.973340034484863
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.525, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.496875, loss: 11.051848411560059
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.525, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.496875, loss: 11.005535125732422
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.525, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.496875, loss: 11.008761405944824
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.525, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.5, loss: 11.17535400390625
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.5, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.496875, loss: 11.071507453918457
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.913065910339355
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.55, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.496875, loss: 11.011557579040527
